titleJackfruit Dried
Coconut Oil
Ground Nut Oil
Ragi (Finger Millet)
Sesame Oil (Brown Gingelly Seed)
Mustard Oil (Black Seed)
Cow Ghee ( Pure Cow Ghee )
Extra Virgin Coconut Oil
Fish Curry Masala
Fish Fry Masala
Punjabi PISI Wheat Flour
Rajwadi Lokwan Wheat Flour
Travancore Sambar Powder
Tamil Sambar Powder
Kannada Sambar Powder
Multigrain Chutney Powder
Rasam Masala Powder
Puliyogare Masala
Chicken Curry Masala
Five Spice Masala Powder
Biriyani Masala
Meat Masala
East Indian Bottle Masala
Stew Masala
Egg Curry Masala
Garam Masala
Raw Honey ( Indian Big Bee )
Wild Honey ( Kattuthen )
Stingless Bee Honey ( Cheruthen )
Ginger Garlic Paste
Sehore Sharbathi Wheat Flour
Rajinigandha-Premium Sharbathi Wheat Flour
Daliya
Daliya (Samba Wheat)
Proso (Broomcorn Millet)
Amaranth ( Rajgira )
Buckwheat
Arrowroot White ( Bilathi koova )
Arrowroot ( Manja Koova )
Moong Dal
Popcorn Kernels
Rajma
Rajma Kashmiri
Roasted Chana ( Sattu )
Rolled Oats (Flat)
Rajma Chitra
Rolled Oats ( Semi )
Soya Bean
Steel Cut Oats
Toor Dal
Dosa-Idly Batter
Ajwain
Black cumin
Caraway ( Shah Jeera )
Cumin (Jeera )
Fennel ( Saunf )
Lucknow Saunf ( Aniseed )
Basil Dried
Oregano Dried
Rose Mary Dried
Thyme Dried
Black Elaichi
Bold Cardamom ( idukki )
Bulk Cardamom (Idukki)
H1 Grade Cinnamon (Ceylon )
Casia Cinnamon
Cinnamon(Ceylon )
Cloves
Fenugreek
Gondh White ( Katira )
Gondh Brown ( Katira )
Kadukka - Haritaki
Kasuri Methi
Lemon Dried
Mace ( Red Flower )
Mace ( Yellow Flower )
Marathi Moogu
Nutmeg Kaladi
Pathimugam ( Sappan Wood )
Poppy ( Kus Kus )
Rose Petals
Saffron ( Kashmir Mogra )
Star Anise
Stone Flower ( Kalpasi )
Tejpat ( Bayleaf )
Vanilla ( Kerala Idukki )
Small Black Mustard
Mustard Split ( Yellow )
Bold Black Pepper Idukki
Bulk Black Pepper Idukki
Kabab Chini ( Tailed Pepper )
Thippili ( Long Pepper )
Ginger Dried
Kanthallur Garlic
Kokam Rind ( Sindhudurg )
Malabar Pot Tamarind
Naadan puli ( Naati Huli )
Tamarind ( Sambar Tamarind )
Coriander ( Premium )
Samba(Chapli/Emmar/Khapli) Wheat Flour
Raw Sugar Powder
Raw Sugar Granules
basil seeds
Black sesame
Appam Batter
Multi-Millet Batter
Dates Sweetened Peanut Butter
Honey Sweetened Peanut Butter
Palm Sugar Sweetened Peanut Butter
Jaggery Sweetened  Peanut Butter
Un Sweetened Peanut Butter
Raw Sugar Sweetened Peanut Butter
Grated Coconut ( Fresh )
Rice Parboiled (Gandhakasaala)
Red Rice Raw Broken (Koduman)
Rice Parboiled ( Red Matta Half Bran )
Rice Par Boiled ( Ponni Unpolished)
RICE RAW ( RAJMUDI )
RICE  ( MULLANKAIMA )
RICE BAMBOO
RICE PAR BOILED ( KARUPPU KAVINI )
Navara Rice (Raw)
Kashmiri Giri (Almonds)
Solitaire Gold (Almonds)
Super Jumbo (Almonds)
Borma Cashew
Barbeque Cashew
240 Cashew (Cashew-Quilon)
320 Cashew (Cashew-Quilon)
Black Pepper (Cashew Quilon)
Chilli Garlic (Cashew-Quilon)
Green Chilli (Cashew-Quilon)
Honey (Cashew Quilon)
CASHEW ( QUILON - JALAPENO )
180 Premium (Cashew-Quilon)
Roasted And Salted (Cashew Quilon)
LWP Cashew (Cashew-Quilon)
Split Cashew (Cashew Quilon)
Brazil Nuts
Black Chia Seed
Cucumber Seeds
Amla (Sweet) Dried
Black Current Plum Dried
Dried Blackberry
Blueberry Dried
Cranberry Dried
Ginger Cubes Dried
Prunes Dried
Strawberry Dried
Pineapple Coin Dried
Fig Standard
Fig Superior
Fig SW
Rice Gandhakasaala (Jeera Rice)
Lotus Seeds
Mubroom Dates
Ajwa Delight Dates
Algerian Berari Seedless Dates
Kimia Dates
King Medjool Dates
Mabrook Dates
Pearl Dates
Rabea Dates
Red Medjool Dates
Safawi Dates
Sukkari Soft Dates
Sulthan Dates
Sprouted Ragi (Finger Millet)
Quinoa White
Quinoa Red
Jowar (Sorgham Millet)
Black Chana
Byadagi Red Chilli
Kashmiri Original Red Chilli
Guntur Long Medium Spicy Red Chilli
Salem Ball Red Chilli
Dubby Byadagi Red Chilli
Idukki Turmeric
Guntur Small Super Spicy Red Chilli
Adai Dosa Batter
White Idiyappam Rice Powder
White Rice (Non Roasted)
Red Idiyappam Puncha Rice Powder
White Puttu Rice Powder
Himalayan Pink Salt
Black Salt
Besan ( Channa Dal )
Makka  (Maize)
Psyllum Husk ( Isbgaol )
Barley
Fried Gram ( Pottudal )
Masoor Dal Split
Masoor Whole With Skin
Horse Gram
Urad Dal ( With Skin)
Sattu Special
Dried Banana
Dates (Barkath)
Dates (Halawi)
DATES ( Iran Jumbo )
Royal Branch Dates
Flax Seed
RR Indian Raisins
Flax Seed (Roasted)
Sunflower Seeds
Long Yellow Raisins
Seeded Black Raisins
Afghani HF Raisins
Seedless Black Raisins
Pecan Nuts ( Kashmir)
Apricot Dried
Oman Kaarakka Dates
Walnut Giri ( With Shell )
Pumpkin Seeds
Blueberry ( Kashmiri)
Munakka Raisins
7 Seeds
Blenched Almonds (Skinless)
Standard Walnut
Water Melon Seeds
Salted Almonds
Apricot Soft
Nutkut Seedless Raisins
California Walnut
Redberry Kashmiri
Pistachio Iran
Hazel Nuts
Kashmiri Giri Walnut
Apricot Kashmiri`
Pistachio Green ( without Shell)
Mustard Oil (Yellow Seed)
Sunflower Oil
Green Gram (Split)
Green Gram (Moong)
Whole Chana (White)
White Pepper
White Sesame
Ajowan
Red Puttu Rice Powder
Ragi Puttu(Finger Millet)
Wheat Puttu
Makka Puttu (Maize)
Baby Health Mix
Urad Dal(without skin )
Singata(water chestnut)
Sabudana (Sago)
Rice Poha( Mappilai Samba )
Pistachio California
Urad Dal White (Split)
Marayoor Jaggery Whole
Thread Sugar Candy (Dhage Wali Mishri)
Wayanadan Rice Poha
Peanut (Non roasted)
Kasturi Mehti
Fennel
Mixed Dry Fruits And Nuts
Big Mustard Black
Jau (Whole Barley)
Copra(Rajapur)
240 Cashew(Cashew -Quilon)
Kasthuri Manjal
Palm Jaggery  100%
Multigrain Soft Atta
Multigrain Medium Atta
Wheat Poha
Multigrain Hard Atta
Almond Added Atta
Jackfruit Added Atta
Ajwa Berrari Dates
Palm Sugar Crystal
Navane (Foxtail Millet)
Arka (Kudo Millet)
Bajra (Pearl Millet)
Bargu (Barnyard Millet)
Korla (Browntop Millet)
Red Chilli Powder (Mix & Make)
Multigrain Nuts and Seeds Atta
Awla Dried
Palm Jaggery 80%
Red Raw rice Full Bran
Sea Salt
Shikakai(Non Food)
Soap Nut
Samai (Little Millet)
Gluten Free Atta (Zero Wheat)
Alleppy Supreme Turmeric
Desi Khand ( Khandsari )
Cinnamon And Orange Handmade Soap
Geranium With Rose Petals Handmade Soap
Honeysuckle And Tulsi Handmade Soap
Vetiver With Hemp Seed Handmade Soap
Jasmine And Neroli Handmade Soap
Aloe And Sweet Basil Handmade Soap
Neroli With Lavender Handmade Soap
Nelli And Shikakai Hair Oil
Mallow And Neem Hair Oil
Moisturizer Grape Fruit Beeswax
Wintergreen Pain Balm Beeswax
Kokkum & Vanilla Body Butter Beeswax
Vetiver And Cocoa Body Butter Beeswax
Orange Lip Balm Beeswax
Insect Repellent Beeswax
Hemp-Cedar Body Rub Beeswax
South Indian Arouse-50-50 Blend
KDP CH-Washed Arabica 100%
Aghora - Organic Arabica 100%
Morning Bliss - 80 - 20 Expresso Blend
Idukki Black Coffee (Hirange Kattan)
Turmeric And Vetiver Handmade Soap
Nilanarakam Hair oil
Hemp Beard Wax Beewax
Mint Lip Balm Beeswax
Garlic chips/powder
Mehandi - Henna (Dried Leaves)
Coconut Delight Cookies
Tale of Biscotti
Nutriragi Cookies
Mint Thyme Cookies
Wheat Bread
Multi-Cereal Bread
Mandiya Jaggery Powder
Granola
Sesame Oil (White Gingelly Seed)
Uzhunnu Vada Batter ( Medu Vada )
Parippu Vada Batter ( Dal Vada )
Peanut(Roasted)
Dates Syrup
AL- Fareed Dates
Halim/Aaliv(Garden Cress seeds)
Lobia
Alfareed Dates
Walnut Nut Butter
Cashew Nut Butter
Almond Nut Butter
Hazelnut Nut Butter
Mixed Nut Butter
cherry Dried
dummy
Bath Brush Natural
Bath Scrubber Natural
Dish Washer(Coconut Coir) Natural
White Chia Seed
Bombay Kaskas
Maize(Broken)
Samba Wheat With Husk
Raw Sugar(addon)
Jagger(Addon)
Honey(Addon)
Dates Syrup(Addon)
Palm Jaggery (Addon)
Almond(For Butter)
Arka Kudo Poha(Millet)
Bajra Poha (Pearl Millet)
Barnyard Poha (Bargu Millet)
Jowar Poha (Sorgam Millet)
Foxtail Poha (Navane Millet)
Ragi Poha(Finger Millet)
Samai Poha(Little Millet)
Kudo Rava (Arka Millet)
Bajra Rava(Pearl Millet)
Barnyard Rava (Bargu Millet)
Jowar Rava(Sorgam Millet)
Foxtail Rava (Navane Millet)
Ragi Rava (Finger Millet)
Samai Rava (Little Millet Rava)
test
DESICCATED COCONUT (FULL FAT)
DESICCATED COCONUT (LOW FAT)
DESICCATED COCONUT (CHUTNEY SKIN)
Kodumon Germinated Rice
Moringa Leaf (Dried)
Orange Peel
Samba wheat Rava(Sooji)
Makka Poha(Maize)
Custom Product
Peanut butter
Hazelnut Butter
Idukki Black Coffee
Marayoor Jagerry Powder
Guntur Long Medium Spicy Red Chilli(sachet)
Byadagi Red Chilli (sachet)
Salem Ball Red Chilli (sachet)
Guntur Small Super Spicy (sachet)
Dubby Byadagi Red Chilli (sachet)
Kashmiri Original Red Chilli (sachet)
Coriander Premium-(sachet)
Idukki Turmeric (sachet)
Alleppy Supreme Turmeric (sachet)
Coconut Milk
